hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0558?ys=2025RS' target='_blank'>SB0558</a>,Senator Ready,State Government - General Assembly,General Assembly - Fiscal Notes - Family Impact Statement,Hearing 2/20 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1487?ys=2025RS' target='_blank'>HB1487</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0657?ys=2025RS' target='_blank'>SB0657</a>,Senator Ready,Real Property,Eminent Domain - Just Compensation - Fees and Costs,Hearing 2/11 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1362?ys=2025RS' target='_blank'>HB1362</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0658?ys=2025RS' target='_blank'>SB0658</a>,Senator Ready,Private Sector Labor and Industry,Labor and Employment - Noncompete and Conflict of Interest Provisions,Hearing 2/19 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1288?ys=2025RS' target='_blank'>HB1288</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0659?ys=2025RS' target='_blank'>SB0659</a>,Senator Ready,Commercial Law - Generally,Consumer Protection - Electronic Funds Transfers - Regulations (Elder Fraud Prevention Act of 2025),Hearing 2/20 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0332?ys=2025RS' target='_blank'>HB0332</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0660?ys=2025RS' target='_blank'>SB0660</a>,Senator Ready,Family Law,Family Law - Child Support Guidelines - Agreement Between Parents,Hearing 2/13 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0661?ys=2025RS' target='_blank'>SB0661</a>,Senator Ready,Real Property,Real Property - Condemnation - Compensation for Farm and Agricultural Property (Protect Maryland Farm Lands Act),Hearing 2/11 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0081?ys=2025RS' target='_blank'>HB0081</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0699?ys=2025RS' target='_blank'>SB0699</a>,Senator Ready,Natural Resources - Generally,Forest Conservation Act - Linear Projects - Alteration,Hearing 2/25 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1224?ys=2025RS' target='_blank'>HB1224</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0700?ys=2025RS' target='_blank'>SB0700</a>,Senator Ready,"State Government - Agencies, Offices, and Officials",Notarial Acts - Reasonable Accommodations,Unfavorable Report by Judicial Proceedings; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0701?ys=2025RS' target='_blank'>SB0701</a>,Senator Ready,Public Health,Public Health - Cottage Food Products - Nonpotentially Hazardous Foods and Refrigerated Baked Goods,Hearing 2/28 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0785?ys=2025RS' target='_blank'>SB0785</a>,Senator Ready,Private Sector Labor and Industry,Labor and Employment - Unpaid Parental Leave - Definition of Employer,Favorable Report by Economic Matters,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1340?ys=2025RS' target='_blank'>HB1340</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0884?ys=2025RS' target='_blank'>SB0884</a>,Senator Ready,Vehicle Laws - Licensing and Regulation,Commercial Driver's Licenses - Out-of-State Residents - School Buses or Passenger Vehicles,Unfavorable Report by Judicial Proceedings; Withdrawn,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1500?ys=2025RS' target='_blank'>HB1500</a>
